ZBGbuw	[empty string]
XHO5F1	{0, plural, one {# job could not be deleted} other {# jobs could not be deleted}}
AHhuJj	{0, plural, one {# job could not be retried} other {# jobs could not be retried}}
8ob0vY	{0, plural, one {# workspace failed or behind} other {# workspaces failed or behind}}
xEqptn	{0, plural, one {credit/period} other {credits/period}}
AkeiJW	{0, plural, one {seat} other {seats}}
wXviUj	{attemptsMade, plural, one {{attemptsMade} attempt} other {{attemptsMade} attempts}}
y9covz	{behindCount, plural, one {# workspace behind} other {# workspaces behind}}
0aO0VO	{days, plural, one {{days} day} other {{days} days}}
MIIEDl	{deletedCount, plural, one {Successfully deleted {deletedCount} job} other {Successfully deleted {deletedCount} jobs}}
nRKZKb	{failedCount, plural, one {# workspace failed} other {# workspaces failed}}
pEl0a0	{hours, plural, one {{hours} hour} other {{hours} hours}}
j9A2IB	{jobCount, plural, one {Delete {jobCount} Job} other {Delete {jobCount} Jobs}}
48w++B	{jobCount, plural, one {Retry {jobCount} Job} other {Retry {jobCount} Jobs}}
X78+Nn	{jobCount, plural, one {This will permanently remove it from the queue. This action cannot be undone.} other {This will permanently remove them from the queue. This action cannot be undone.}}
QJYN9L	{jobCount, plural, one {This will retry the selected job. It will be re-executed from the beginning.} other {This will retry the selected jobs. They will be re-executed from the beginning.}}
5d0hY6	{retriedCount, plural, one {Successfully retried {retriedCount} job} other {Successfully retried {retriedCount} jobs}}
kvVMdH	{selectedCount, plural, one {Delete {selectedCount} Job} other {Delete {selectedCount} Jobs}}
1y0QK1	{selectedCount, plural, one {Retry {selectedCount} Job} other {Retry {selectedCount} Jobs}}
hvL8np	{serviceLabel} service is unreachable
43TqJC	A display name for this provider
DhgC7B	About this user
PtK3Kn	About this workspace
pNW+Rt	Access Key ID
QHjErc	Active Sync
RVp8im	Add custom endpoints, private gateways, or additional regions.
4JviOV	Add Custom Provider
q5ruxx	Add Model
05jO4l	Admin Panel - AI
2GX/U+	Admin Panel - Apps
JA5LSq	Admin Panel - Config
6X68yA	Admin Panel - General
v/zjIb	Admin Panel - Health
WlItll	After 180 days
I6lVwB	After 30 days
yPZL9v	After 60 days
E5fxqI	After 90 days
5uLUiv	After a year
qiD/6r	AI chat threads for this workspace
E/lGXl	AI consumption across all workspaces.
jSHIk0	AI usage analytics across workspaces is available with an Organization key.
jyqPfh	AI Usage by Workspace
BAiyFV	AKIA...
s1C/cR	All App Registrations
REq7rb	All application registrations across the platform, including orphaned marketplace apps ({totalCount} matching)
GNJgJf	All failed jobs have been retried
BKoJRa	All Groups
MLmnB2	All workspaces this user is a member of
fWQJW/	Allow developers to claim ownership of applications.
G1r3UJ	Allow filtering records by values inside JSON fields.
irI8Y5	Allow installation
cLzEjc	Allow sharing individual records with workspace members.
xfQ2i8	Allow unique indexes to prevent duplicate field values.
GqCA/t	Answered
Jl+rxL	API key configured
eZ6HbZ	API key is required
FXWLlg	API rate limits v2
gA2ZGo	App claiming
qKnSyT	App deleted successfully
4H6WHS	Asymmetric public keys used to sign and verify access tokens. Revoking a key immediately invalidates every JWT signed with it.
rHeTee	Automatically install this app on every newly created workspace
b2ghLW	Base credits
9JIIfQ	Base URL
QtMnui	Base URL is required
nJGwRf	Billing interval
041SWy	Browse AI chat threads across all workspaces ({totalCount} matching)
IXoy1p	Browse AI chat threads across all workspaces, including onboarding chats
uvoIrk	Built-in models from this provider. Toggle to enable or disable.
30JOri	Built-in providers activated by API key. Click to manage models.
ZPnTAU	Cache pricing
UHhAMv	Cache read
cGlfU4	Cache write
LbIh3Y	Calendar Sync
dC0BTo	Canceled at
zbbpgB	Cancels at
2CAby/	Cancels at period end
eKz2ln	Chat conversation
jTS+KY	Chat Sessions
8Q+lLG	Chats
PPf/RT	Choose which fields are used when searching for records.
hom7qf	Claim
aHPKtV	Claim ownership
wu0RfR	Clear the field or "X" to revert to environment/default value.
b8wwse	Click on the checkmark to apply your changes.
H86f9p	Collapse
amPBVF	Compensation
6y7/Rf	Completed jobs kept for {completedDuration}, failed jobs kept for {failedDuration} (max {maxCount} each)
BglnOD	Computed at
Vj43Y/	Config Variables
8/+vjg	Configurable search fields
iAL9tI	Configure
M1co/O	Configured
LXIm4m	Context window
uKvqU1	Context window must be a positive integer
4jdeR0	Copy key ID
3X5ngu	Cost per million tokens (USD)
t+sNce	Cost per million tokens for cached input (USD)
t3sqJR	Created on {0}
HAzhV7	Credentials
NGOYJs	Credit allowance quotas
3hkXRB	Credit balance
Woqoyp	Credit consumption for the current period
zH6NZT	Credit grant revoked.
UQ4Hjl	credits
x4qjZw	Credits are added on top of the plan allowance and are spent only once it runs out. They carry over in full from one billing period to the next, and stay available until they are used up or, where an expiry is set, until the end of the billing period that expiry falls in.
nbyiz/	Credits handed out on top of the plan allowance. They stay spendable until used up.
yLljbQ	Credits used
Hp1l6f	Current
nSK0mT	Current period
C6vAhD	Current subscription state and line items
6YzXhC	Current value from server environment. Set a custom value to override.
Hd06oy	Current version
87ZNeX	Custom model ID
sakSHW	Custom provider
Gh6L3r	Custom Providers
79QPp0	Custom providers are complimentary for organizations of up to {0} seats. Above that, an Organization plan is required.
dDp+uz	Custom providers are complimentary for organizations of up to {0} seats. This instance has {1} seats, so an Organization plan is required.
FjmF6O	Custom providers are complimentary up to {0} seats. This instance has {1}. Upgrade to add more.
RzkN1M	Data Residency
GEMJqo	Database configuration is currently disabled.
Zrez13	Default Models
pZXwuH	Delayed
JXU6Ex	Delete app
x9/fRy	Delete or transfer this app registration
crxufE	Detail per workspace
8n9Unw	Direct REST metadata responses
XDeNvP	Disable impersonation
7sBzvW	Display name for the model
ljWYXA	Display this app in the NPM packages list
vU/Hht	Distribution
8zfXiN	e.g. 1.25
il+blF	e.g. 10.00
6bwSBJ	e.g. 16384
8u2elr	e.g. 2.50
7F0zgN	e.g. 3.75
u+aOKb	e.g. gpt-4o
c+GbbT	e.g. GPT-4o
Xh9FA2	e.g. My OpenAI Proxy
88vQqv	e.g. my-workspace
XnR4kd	e.g. OpenAI EU
snb/bC	Email campaigns
OMbipf	Empty Array
3hSGoJ	Empty Object
vs9cre	Enable email campaigns, lists, and unsubscribe management.
Tt0V8j	Enable impersonation
IrI9pg	End date
Fqu/aC	End date must be after start date.
peBb6B	Enter a new secret value
oiVP/+	Enter a value to store in database
lcPZCR	Enter both keys, or neither to use the instance IAM role
9CjMQ7	Enter JSON array
tEWpbi	Enter the workspace subdomain to transfer this app to. You will lose access to manage it.
pubQie	Enter value
GDMzJS	Enter your two-factor authentication code to confirm.
gmjkzq	Error deleting app
bnJA0G	Error Message
1A3EXy	Expand
tKcbYd	Failed Jobs
ZWX/Lk	Failed to add model
gU+vGA	Failed to add provider
E2CkaQ	Failed to claim ownership.
pUligB	Failed to delete jobs. Please try again later.
UYDPfv	Failed to load chats. Please try again.
HYRl4P	Failed to load more chats.
VxZSi+	Failed to load server administrators.
3m7+J/	Failed to refresh upgrade status
3YA1cX	Failed to remove model
B6yaak	Failed to remove provider
SJEIIJ	Failed to retry jobs. Please try again later.
70UyPr	Failed to revoke signing key. Please try again later.
aj02T8	Failed to set maintenance mode.
OX7bKt	Failed to synchronize the marketplace catalog.
LVcnN8	Failed to transfer ownership. Check that the subdomain is correct.
2D6TRg	Failed to update default model
W7Ff/4	Failed to update model availability
ahCOdw	Failed to update server administrator access.
K0joU5	Failure Rate
+ZqAYI	Feature Flags
Xgkhyj	Flags
aerYcp	full admin panel access
CU/Sq6	full server access
nE5VAt	Grant
P1Rw/Z	Grant access
3xMv4O	Grant admin panel access
5O8DG6	Grant credits
FdPN4f	Grant full access
E0rSFg	Granted
Tbxf45	Granted {parsedAmount} credits to this workspace.
fqtGOd	Granted credits
L8fEEm	Group
fQoUMw	Has error
HyaXse	Health of the latest instance command
I1IOmb	Health Status
wgmt7A	Hide hidden groups
k7iMla	How your system is doing
