lndIq/	 billed annually
nA/hWD	 per {intervalLabel}
N/lIUf	. The change will be applied the {beautifiedRenewDate}.
TaLmrR	({0} credits)
i/aRV6	({seats} {seatCountLabel} × ${displayedPerSeatPrice})
lAxYP0	(${currentCreditPriceDisplay}/{intervalLabel})
dNIJYp	{0} credits
r4l/MK	{0} used
LZWC7x	{currentCreditAmountDisplay} credits 
Ae2fyu	{grantedCreditsDisplay} credits
h5WHNQ	/{intervalLabel}
vOdfPD	/{intervalLabel} after trial
9lFfqv	/month
AkYLhr	/month billed yearly
oz9P7U	/user per month
6WQdu8	100 per minute
7SJhyh	30+
Z2TH0F	50 per minute
i7ur8L	Activating subscription...
rUVyfz	Add a card below to update your billing details and retry your payment.
sFY+gw	Add card
3AphJD	Add credit card
ZEOklT	Add your credit card
ZYntTu	Add your credit card below. Once added, your subscription will start automatically.
iEQQyu	Agent
aUn7Ps	AI & Automations
HbXHSp	AI agents
V+Qj+q	AI Chat
TLbVxH	AI Workflow
iKzPQM	All agents
Aapaa8	All API keys
G6DTnD	All applications
FIlQ3z	All logic functions
UBpkWM	All users
qf6r3X	All workflows
YkfDoz	Annual
OZtEcz	API
30KnZB	API calls
IrC12v	Application
p98xmP	Applies to
y2W2Hg	Audit logs
aIkeAd	Billed monthly
8tzR0k	Billing period
xF/NXI	Billing portal session error. Please retry or contact Twenty team
9e+AU2	Call Recording
J8nuSF	Cancel credit pack switching
ztnpYZ	Cancel credit pack switching?
dV4HC5	Cancel interval switching
M5CqkG	Cancel interval switching?
rRK/Lf	Cancel Plan
8eSMLX	Cancel plan switching
f6KFEf	Cancel plan switching?
N6gPiD	Cancel your subscription
n1zTaJ	Caps on what your workspace can spend and who they apply to
TbCWB7	Card payment is currently unavailable. Please verify your Stripe configuration or contact your workspace admin.
9m7pJA	Change to Monthly?
C8G9Mq	Change to Organization Plan?
t7uUc+	Change to Pro Plan?
N8mUQE	Change to Yearly?
SxwQE8	Checkout session error. Please retry or contact Twenty team
tMOTjD	Choose {intervalAdjective} credits
sHa2Dg	Choose a spender
RGUZK1	Choose a usage
qJwqET	Choose a usage first
5EMoSo	Choose plan
u8JHrO	Clear filters
Gt8ndY	Click a user to see their daily breakdown.
CTdw8/	ClickHouse Not Configured
tyxkc0	Code Execution
awM9hH	Compare plans
Gdj3Sa	Confirm changing to {selectedCreditAmountDisplay} credits for ${selectedPriceDisplay} per {intervalLabel}.
q2rgqr	Confirm changing your current resource credit allocation.
kZkFSm	Confirm downgrade
AOwjMZ	Contact admin
7iwYAn	Credit consumption over time.
